s,Year,Player,Pos,Age,AV,School,College,Height,Wt,FORTYYD,Vertical,BenchReps,BroadJump,3Cone,Shuttle,NAME,TEAM,PERIOD,SNAPS,REC,TARGETS,CATCH_P,YDS,YAC,YAC_COMP,YDS_COMP,YDS_TA,TD,DP,AVG_YDS_SEASON,MAX_YDS_SEASON,AVG_TDS_SEASON,MAX_TDS_SEASON,YDS_GAME,TDS_GAME,GAMES,Conference,ROOKIE_YEAR,ROOKIE_YDS,ROOKIE_TDS,ROOKIE_YDS_GAME,
164,2017,John Ross,WR,22,5,Washington,College Stats,11-May,188,4.22,37,,133,,,John Ross,Washington ,2016,0,81,123,0.659,1140,386,4.8,14.1,9.3,17,4,358,506,5,7,34.0952,0.47619,21,Pac-12,2018,210,7,16.1538,0.538462
106,2018,Jester Weah,WR,23,,Pittsburgh,College Stats,2-Jun,211,4.43,38,15,129,7.24,4.41,Jester Weah,Pittsburgh  ,2017,630,41,80,0.513,698,209,5.1,17,8.7,4,7,0,0,0,0,0,0,0,Atlantic Coast,0,0,0,0,0
132,2018,Deon Cain,WR,21,1,Clemson,College Stats,2-Jun,202,4.43,33.5,11,115,6.71,4.37,Deon Cain,Clemson  ,2017,648,58,90,0.644,734,215,3.7,12.7,8.2,6,5,124,124,0,0,9.53846,0,13,Atlantic Coast,2019,124,0,9.53846,0
190,2017,Amba Etta-Tawo,WR,23,,Syracuse,College Stats,1-Jun,208,4.49,31,14,126,6.95,4.32,Amba Etta-Tawo,Syracuse ,2016,0,94,145,0.648,1480,646,6.9,15.7,10.2,14,7,0,0,0,0,0,0,0,Atlantic Coast,0,0,0,0,0
123,2018,Jordan Lasley,WR,21,,UCLA,College Stats,1-Jun,203,4.5,34.5,8,112,,4.19,Jordan Lasley,UCLA  ,2017,595,69,104,0.664,1264,505,7.3,18.3,12.2,9,13,0,0,0,0,0,0,0,Pac-12,0,0,0,0,0
156,2017,Ryan Switzer,WR,22,3,North Carolina,College Stats,8-May,181,4.51,32,11,116,6.77,4,Ryan Switzer,North Carolina,2016,0,97,126,0.77,1114,556,5.7,11.5,8.8,6,4,107,253,0.333333,1,7.82927,0.0243902,41,Atlantic Coast,2017,41,0,2.5625,0
185,2017,Chad Hansen,WR,22,1,California,College Stats,2-Jun,202,4.53,35,11,119,6.74,4.13,Chad Hansen,California ,2016,0,92,144,0.639,1248,445,4.8,13.6,8.7,11,4,94,94,0,0,6.26667,0,15,Pac-12,2017,94,0,6.26667,0
159,2017,JuJu Smith-Schuster,WR,20,25,USC,College Stats,1-Jun,215,4.54,32.5,15,120,,,Juju Smith-Schuster,USC ,2016,0,70,105,0.667,914,384,5.5,13.1,8.7,10,4,0,0,0,0,0,0,0,Pac-12,0,0,0,0,0
175,2017,Gabe Marks,WR,,,Washington State,College Stats,11-May,189,4.56,29.5,11,117,7.01,4.2,Gabe Marks,Washington State,2016,0,89,131,0.679,894,319,3.6,10,6.8,13,4,965,1426,5.666666667,7,68.9,0.404761905,42,Pac-12,2017,917,7,65.5,0.5
189,2017,Isaiah Ford,WR,21,2,Virginia Tech,College Stats,1-Jun,194,4.61,35.5,14,127,6.94,4.34,Isaiah Ford,Virginia Tech,2016,0,79,137,0.577,1094,325,4.1,13.8,8,7,7,244,244,0,0,30.5,0,8,Atlantic Coast,2019,244,0,30.5,0
109,2018,Auden Tate,WR,21,4,Florida State,College Stats,5-Jun,228,4.68,31,,112,,,Auden Tate,Florida State ,2017,565,40,67,0.597,548,124,3.1,13.7,8.2,10,2,305,575,0.5,1,32.1053,0.0526316,19,Atlantic Coast,2018,35,0,5,0
