Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,FORTYYD,Vertical,BenchReps,BroadJump,3Cone,Shuttle,NAME,TEAM,PERIOD,SNAPS,REC,TARGETS,CATCH_P,YDS,YAC,YAC_COMP,YDS_COMP,YDS_TA,TD,DP,AVG_YDS_SEASON,MAX_YDS_SEASON,AVG_TDS_SEASON,MAX_TDS_SEASON,YDS_GAME,TDS_GAME,GAMES,Conference,ROOKIE_YEAR,ROOKIE_YDS,ROOKIE_TDS,ROOKIE_YDS_GAME
176,2017,Josh Malone,WR,20,1,Tennessee,College Stats,3-Jun,208,4.4,30.5,10,121,7.05,4.19,Josh Malone,Tennessee ,2016,0,50,74,0.676,972,292,5.8,19.4,13.1,11,3,37.5,63,0.5,1,3.75,0.05,20,Southeastern,2017,63,1,5.72727
131,2018,Antonio Callaway,WR,21,5,Florida,College Stats,11-May,200,4.41,34,,121,,,Antonio Callaway,Florida State ,2016,524,54,85,0.635,721,373,6.9,13.4,8.5,3,7,337.5,586,2.5,5,33.75,0.25,20,Southeastern,2018,586,5,36.625
114,2018,Calvin Ridley,WR,23,14,Alabama,College Stats,Jun-00,189,4.43,31,15,110,6.88,4.41,Calvin Ridley,Alabama  ,2017,711,62,97,0.639,961,395,6.4,15.5,9.9,5,7,843.5,866,8.5,10,58.1724,0.586207,29,Southeastern,2018,821,10,51.3125
124,2018,Christian Kirk,WR,21,11,Texas A&M,College Stats,10-May,201,4.47,35.5,20,115,7.09,4.45,Christian Kirk,Texas A&M ,2017,724,71,112,0.634,919,381,5.4,12.9,8.2,10,4,649.5,709,3,3,51.96,0.24,25,Southeastern,2018,590,3,49.1667
157,2017,ArDarius Stewart,WR,23,1,Alabama,College Stats,11-May,204,4.49,34,,124,,,ArDarius Stewart,Alabama ,2016,0,54,77,0.701,852,576,10.7,15.8,11.1,8,4,82,82,0,0,5.46667,0,15,Southeastern,2017,82,0,5.46667
165,2017,Fred Ross,WR,21,,Mississippi State,College Stats,1-Jun,213,4.51,35,10,113,6.99,4.28,Fred Ross,Mississippi State,2016,0,72,117,0.615,917,348,4.8,12.7,7.8,12,7,0,0,0,0,0,0,0,Southeastern,0,0,0,0
168,2017,Josh Reynolds,WR,22,8,Texas A&M,College Stats,3-Jun,194,4.52,37,,124,6.83,4.13,Josh Reynolds,Texas A&M,2016,0,61,94,0.649,1039,300,4.9,17,11.1,12,6,277.333,402,2.33333,5,17.3333,0.145833,48,Southeastern,2017,104,1,6.5
192,2017,Malachi Dupre,WR,21,0,LSU,College Stats,2-Jun,196,4.52,39.5,11,135,7.19,4.26,Malachi Dupre,LSU ,2016,0,41,65,0.631,593,164,4,14.5,9.1,3,3,0,0,0,0,0,0,0,Southeastern,0,0,0,0
104,2018,Javon Wims,WR,23,1,Georgia,College Stats,3-Jun,215,4.53,33.5,,113,7,,Javon Wims,Georgia  ,2017,691,46,74,0.622,724,163,3.5,15.7,9.8,7,6,109,186,0.5,1,10.9,0.05,20,Southeastern,2018,32,0,8
191,2017,Travin Dural,WR,23,,LSU,College Stats,1-Jun,202,4.57,30.5,,116,7.29,4.55,Travin Dural,LSU ,2016,0,28,51,0.549,279,75,2.7,10,5.5,1,0,0,0,0,0,0,0,0,Southeastern,0,0,0,0
160,2017,Ricky Seals-Jones,WR,21,5,Texas A&M,College Stats,5-Jun,243,4.69,28,17,121,7.46,4.33,Ricky Seals-Jones,Texas A&M,2016,0,26,53,0.491,333,147,5.7,12.8,6.3,1,3,257.667,343,2.66667,4,19.8205,0.205128,39,Southeastern,2017,201,3,20.1
173,2017,Drew Morgan,WR,22,,Arkansas,College Stats,Jun-00,190,4.74,30,10,112,6.85,4.12,Drew Morgan,Arkansas ,2016,0,66,97,0.68,747,373,5.7,11.3,7.7,3,2,0,0,0,0,0,0,0,Southeastern,0,0,0,0
